Name,Area (sqmm)
A.H.U #1,15.3
A.H.U #2,15.3
CHW,1.3
CO-FA #1,1.1
CO-FA #2,0.9
CO-RA #1,1.1
CO-RA #2,0.9
ELEC,4.5
ELV,0.95
F LIFT,6
F LOBBY,5.3
F.TOILET,8.9
FHC #1,1.4
FHC #2,0.89
H.TOILET,4.1
LIFT B1,6
LIFT B2,6
LIFT B3,6
LIFT B4,6
LIFT B5,6
LOBBY-1,87.1
LOBBY-2,1.4
LOBBY-3,16.4
LOBBY-4,15.7
LOBBY. PRESSURIZATION SHATFT #3,1.7
LOBBY. PRESSURIZATION SHAFT #1,1.5
LOBBY. PRESSURIZATION SHAFT #2,2.5
M.TOILET,11.7
 LIFT FOR OBSERVATORY #1,6
LIFT FOR OBSERVATORY #2,6
PANTRY,4.1
PASSAGE #1,5.2
PASSAGE #2,4.4
PLUMBING SHAFT,1.6
RWS,1.4
S LIFT - 1,6
S LIFT - 2,6
STAIRCASE-1,32.1
STAIRCASE-2,33.7
STR. PRESSURIZATION SHAFT #1,1.4
STR. PRESSURIZATION SHAFT #2,2.6
TOILET/PANTRY EXE,1.7
OFFICE,1166.9
