Name,Area (sqmm),page_number,label_category,score,area_method,area_confidence,cx,cy
A.H.U #1,15.45,0,short_label,54.0,vector_polygon_closed_gap,0.72,978.56,587.21
A.H.U #2,15.43,0,short_label,54.0,vector_polygon_closed_gap,0.72,597.44,1236.89
CHW,1.36,0,short_label,58.0,vector_polygon_exact,0.95,588.48,1139.57
CO-FA #1,1.18,0,short_label,58.0,vector_polygon_exact,0.95,894.6,544.29
CO-FA #2,0.92,0,short_label,58.0,vector_polygon_exact,0.95,582.84,1175.01
CO-RA #1,1.18,0,short_label,58.0,vector_polygon_exact,0.95,856.92,544.29
CO-RA #2,0.92,0,short_label,58.0,vector_polygon_exact,0.95,547.32,1175.01
ELEC,4.54,0,short_label,58.0,vector_polygon_exact,0.95,547.32,1123.16
ELV,0.95,0,short_label,58.0,vector_polygon_exact,0.95,853.44,1280.84
F LIFT,6.14,0,label,62.0,vector_polygon_exact,0.95,695.6,916.02
F LOBBY,6.86,0,label,62.0,vector_polygon_subtracted_shared_parent,0.66,696.8,987.6
F.TOILET,9.08,0,qualified_label,62.0,vector_polygon_closed_gap,0.72,1003.28,1262.86
FHC #1,1.47,0,short_label,56.0,vector_polygon_exact,0.95,949.92,803.48
FHC #2,0.91,0,short_label,58.0,vector_polygon_exact,0.95,588.48,1099.76
H.TOILET,4.15,0,qualified_label,62.0,vector_polygon_closed_gap,0.72,956.36,1209.29
LIFT B1,6.03,0,qualified_label,62.0,vector_polygon_exact,0.95,881.24,1068.2
LIFT B2,6.04,0,qualified_label,62.0,vector_polygon_exact,0.95,881.12,1145.48
LIFT B3,6.03,0,qualified_label,62.0,vector_polygon_exact,0.95,881.12,1224.2
LIFT B4,6.04,0,qualified_label,62.0,vector_polygon_exact,0.95,696.92,1145.48
LIFT B5,6.03,0,qualified_label,62.0,vector_polygon_exact,0.95,696.92,1223.72
LIFT FOR OBSERVATORY #1,6.03,0,label,62.0,vector_polygon_exact,0.95,881.54,911.53
LIFT FOR OBSERVATORY #2,6.03,0,label,62.0,vector_polygon_exact,0.95,881.54,989.65
LOBBY-1,88.48,0,qualified_label,52.0,vector_open_residual_partition,0.24,793.79,1069.66
LOBBY-2,1.24,0,qualified_label,52.0,vector_sparse_fragment_fallback,0.24,656.63,630.22
LOBBY-3,16.52,0,qualified_label,62.0,vector_polygon_closed_gap,0.72,630.08,1051.69
LOBBY-4,16.18,0,qualified_label,62.0,vector_polygon_subtracted_shared_parent,0.66,953.6,764.17
LOBBY. PRESSURIZATION,2.5,0,qualified_label,56.0,vector_polygon_exact,0.95,689.04,1278.56
LOBBY. PRESSURIZATION SHAFT #1,1.78,0,label,58.0,vector_polygon_exact,0.95,985.68,684.2
LOBBY. PRESSURIZATION SHAFT #2,1.6,0,label,56.0,vector_polygon_exact,0.95,687.0,1094.6
M.TOILET,11.98,0,qualified_label,62.0,vector_polygon_closed_gap,0.72,953.24,1138.46
OFFICE,1175.25,0,short_label,52.0,vector_open_residual_partition,0.24,1188.11,950.54
PANTRY,4.12,0,short_label,62.0,vector_polygon_closed_gap,0.72,1015.4,1084.62
PASSAGE #1,4.45,0,label,62.0,vector_polygon_closed_gap,0.72,1028.12,682.83
PASSAGE #2,5.27,0,label,62.0,vector_polygon_closed_gap,0.72,631.52,1135.35
PLUMBING SHAFT,1.63,0,label,58.0,vector_polygon_exact,0.95,932.64,1056.99
RWS,1.4,0,short_label,58.0,vector_polygon_exact,0.95,890.4,1281.33
S LIFT - 1,6.13,0,qualified_label,62.0,vector_polygon_exact,0.95,878.96,687.29
S LIFT - 2,6.12,0,qualified_label,62.0,vector_polygon_exact,0.95,947.12,686.45
STAIRCASE-1,31.11,0,qualified_label,62.0,vector_polygon_subtracted_shared_parent,0.66,577.76,987.3
STAIRCASE-2,20.93,0,qualified_label,62.0,vector_fragment_cluster,0.48,990.8,842.58
STR. PRESSURIZATION SHAFT #1,2.65,0,label,56.0,vector_polygon_exact,0.95,582.71,791.96
STR. PRESSURIZATION SHAFT #2,1.48,0,label,56.0,vector_polygon_exact,0.95,1010.63,1043.0
TOILET/PANTRY EXE,1.81,0,qualified_label,58.0,vector_polygon_exact,0.95,963.84,1060.45
