label_id,extracted_label,label_category,score,pdf_cx,pdf_cy,crop_x,crop_y,matched_room_id,matched_room_area_px,matched_room_bbox
1,CO-RA,service,46.0,856.92,544.29,1891,628,,,
2,CO-FA,service,46.0,894.6,544.29,2006,628,,,
3,A.H.U,space,45.0,978.56,587.21,2263,759,,,
4,LOBBY-2,space,47.0,656.63,630.22,1279,890,,,
5,LOBBY.,space,47.0,989.28,660.53,2296,983,,,
6,PASSAGE,space,49.0,1028.12,682.83,2414,1051,,,
7,SHAFT,service,47.0,982.08,685.13,2274,1058,,,
8,LIFT,space,46.0,947.12,683.82,2167,1054,,,
9,LIFT,space,46.0,878.96,684.66,1958,1057,,,
10,LOBBY-4,space,47.0,953.6,764.17,2186,1300,,,
11,STR. PRESSURIZATION,service,36.0,582.71,788.36,1053,1374,16.0,45849.0,"(893, 1123, 621, 443)"
12,SHAFT,service,47.0,583.41,795.56,1055,1396,16.0,45849.0,"(893, 1123, 621, 443)"
13,FHC,service,45.0,949.92,803.48,2175,1420,,,
14,STAIRCASE-2,space,51.0,990.8,842.58,2300,1539,9.0,44939.0,"(2191, 1335, 213, 213)"
15,LIFT,space,46.0,885.92,902.69,1980,1723,,,
16,LIFT,space,46.0,695.6,919.03,1398,1773,,,
17,STAIRCASE-1,space,51.0,577.76,987.3,1038,1982,,,
18,LIFT,space,46.0,885.92,980.81,1980,1962,,,
19,LOBBY,space,47.0,696.8,990.62,1402,1992,,,
20,TOILET/PANTRY,space,70.0,963.84,1054.64,2218,2187,,,
21,LOBBY-3,space,47.0,630.08,1051.69,1198,2178,,,
22,STR. PRESSURIZATION,service,36.0,1010.63,1039.4,2361,2141,,,
23,PLUMBING,service,50.0,936.24,1056.99,2133,2194,,,
24,SHAFT,service,47.0,1011.33,1046.6,2363,2163,,,
25,LOBBY-1,space,47.0,793.79,1069.66,1698,2233,7.0,19429.0,"(1666, 2140, 52, 382)"
26,SHAFT,service,47.0,929.04,1057.16,2111,2195,,,
27,LIFT,space,46.0,881.24,1062.65,1965,2212,,,
28,PANTRY,space,48.0,1015.4,1084.62,2375,2279,,,
29,LOBBY. PRESSURIZATION,unknown,54.0,687.0,1091.0,1372,2298,,,
30,FHC,service,45.0,588.48,1099.76,1071,2325,,,
31,SHAFT,service,47.0,687.81,1098.2,1374,2320,,,
32,ELEC,service,46.0,547.32,1123.16,945,2397,6.0,22081.0,"(841, 2331, 243, 243)"
33,PASSAGE,space,49.0,631.52,1135.35,1202,2434,,,
34,M.TOILET,space,49.0,953.24,1138.46,2185,2443,,,
35,CHW,service,45.0,588.48,1139.57,1071,2447,6.0,22081.0,"(841, 2331, 243, 243)"
36,LIFT,space,46.0,696.92,1139.93,1402,2448,,,
37,LIFT,space,46.0,881.12,1139.93,1965,2448,,,
38,CO-RA,service,46.0,547.32,1175.01,945,2555,6.0,22081.0,"(841, 2331, 243, 243)"
39,CO-FA,service,46.0,582.84,1175.01,1054,2555,6.0,22081.0,"(841, 2331, 243, 243)"
40,H.TOILET,space,49.0,956.36,1209.29,2195,2660,,,
41,LIFT,space,46.0,696.92,1218.17,1402,2687,,,
42,LIFT,space,46.0,881.12,1218.65,1965,2688,,,
43,A.H.U,space,45.0,597.44,1236.89,1098,2744,,,
44,F.TOILET,space,49.0,1003.28,1262.86,2338,2824,,,
45,LOBBY. PRESSURIZATION,unknown,54.0,689.04,1278.56,1378,2872,,,
