room_id,predicted_name,confidence,area_px,bbox_x,bbox_y,bbox_w,bbox_h,centroid_x,centroid_y,evidence
1,UNNAMED_SPACE,0.0,229565.0,2535,1789,751,786,2898,2259,
2,UNNAMED_SPACE,0.0,33661.0,2590,2374,230,148,2704,2447,
3,UNNAMED_SPACE,0.0,41717.0,2577,2256,330,266,2751,2340,
4,UNNAMED_SPACE,0.0,10349.0,2689,2282,132,80,2754,2321,
5,UNNAMED_SPACE,0.0,18566.0,3146,1897,87,217,3188,2004,
6,UNNAMED_SPACE,0.0,11626.0,2590,1897,52,229,2615,2011,
7,UNNAMED_SPACE,0.0,64719.5,2577,1883,708,691,3072,2367,
8,UNNAMED_SPACE,0.0,32048.0,2642,1883,590,257,2913,2057,
9,TOILET/PANTRY,0.99,164086.0,840,1789,1608,786,1727,2319,TOILET/PANTRY | LOBBY. PRESSURIZATION | STAIRCASE-1 | PLUMBING | PASSAGE
10,ELEC,0.657,22081.0,841,2331,243,243,919,2494,ELEC | CO-RA | CO-FA | CHW
11,UNNAMED_SPACE,0.0,19429.0,1666,2140,52,382,1691,2330,
12,LIFT,0.657,41171.0,1652,1883,552,639,1877,2102,LIFT | LIFT
13,PASSAGE,0.7,405946.0,1645,874,1641,786,2473,1259,PASSAGE | LOBBY. | SHAFT | LOBBY-4 | LIFT
14,UNNAMED_SPACE,0.0,10315.0,3146,1336,87,121,3188,1396,
15,STAIRCASE-2,0.729,44939.0,2191,1335,213,213,2297,1441,STAIRCASE-2
16,UNNAMED_SPACE,0.0,44939.0,1952,1335,213,213,2058,1441,
17,UNNAMED_SPACE,0.0,12008.5,2429,1232,157,78,2507,1270,
18,UNNAMED_SPACE,0.0,12826.0,2429,1132,157,87,2507,1175,
19,UNNAMED_SPACE,0.0,10918.0,1700,1114,57,196,1728,1211,
20,UNNAMED_SPACE,0.0,90407.5,1687,928,1545,638,2435,1357,
21,UNNAMED_SPACE,0.0,11016.5,2429,927,59,191,2458,1022,
22,UNNAMED_SPACE,0.0,45411.5,3044,875,241,691,3232,1152,
23,UNNAMED_SPACE,0.0,15655.0,2579,875,308,52,2732,900,
24,LOBBY-2,0.671,162345.5,840,874,704,1010,1133,1238,LOBBY-2 | SHAFT | LIFT | STR. PRESSURIZATION
25,UNNAMED_SPACE,0.0,45849.0,893,1123,621,443,1233,1353,
26,UNNAMED_SPACE,0.0,12952.0,1232,1071,255,52,1359,1096,
27,UNNAMED_SPACE,0.0,61816.0,841,875,660,691,1035,1086,
